"398";"123123";"1 BASICO-A";"737191432C";"-W1-W2-W3-W4-W5-W6-Y1-Y2-Y3-Y4-Y5-Y6"
"412";"123123";"1 BASICO-A";"737191432C";"-W1-W2-Y4-W3-W4-W5-W6-Y1-Y2-Y3-Y5-Y6"
"416";"123123";"1 BASICO-A";"737191432C";"-W1-Y6-W2-Y5-Y4-Y3-W3-Y2-W4-Y1-W5-W6"
"399";"123123";"1 BASICO-B";"811687882C";"-W1-W2-W3-W4-W5-W6-Y1-Y2-Y3-Y4-Y5-Y6"
"406";"123123";"1 BASICO-B";"811687882C";"-W1-Y6-Y5-Y4-Y3-Y2-Y1-W6-W5-W4-W3-W2"
"407";"123123";"1 BASICO-B";"811687882C";"-W1-Y6-Y5-Y4-Y3-Y2-Y1-W6-W5-W4-W3-W2"
"408";"123123";"1 BASICO-B";"811687882C";"-W1-Y6-Y5-Y4-Y3-Y2-Y1-W6-W5-W4-W3-W2"
"409";"123123";"1 BASICO-B";"811687882C";"-W1-Y5-Y6-Y4-Y3-Y2-Y1-W6-W5-W4-W3-W2"
"410";"123123";"1 BASICO-B";"811687882C";"-W1-Y6-Y5-Y4-Y3-Y2-Y1-W6-W5-W4-W3-W2"
"196";"123123";"2 BASICO-A";"243543742A";"-U1-U2-U3-U4-U6-U5-V2"
"217";"123123";"2 BASICO-A";"243543742A";"-V1-V3-V4-V5-V6"
"218";"123123";"2 BASICO-B";"953524602B";"-V1-V3-V4-V5-V6"
"219";"123123";"2 BASICO-C";"737191432C";"-V1-V3-V4-V5-V6"
"220";"123123";"2 BASICO-D";"811687882C";"-V1-V3-V4-V5-V6"
