"124-4";"2019-12-18 20:42:26";"10";"X";"";"jdneenomsp012m43ckovj6lp87"
"124-4";"2019-12-19 10:14:50";"10";"TUTOR_INICIAL";"";"06i06ttcniolqabn5n959abti6"
"124-4";"2019-12-19 14:15:56";"10";"TUTOR_INICIAL";"";"jdneenomsp012m43ckovj6lp87"
"124-4";"2019-12-19 14:17:30";"10";"TUTOR_INICIAL";"";"jdneenomsp012m43ckovj6lp87"
"124-4";"2019-12-20 16:36:33";"10";"TUTOR_INICIAL";"";"v7s74keuqk6hjod27sgnm8hqi6"
"124-4";"2019-12-23 11:48:07";"10";"TUTOR_INICIAL";"";"jdneenomsp012m43ckovj6lp87"
"124-4";"2019-12-23 11:49:25";"10";"TUTOR_INICIAL";"";"jdneenomsp012m43ckovj6lp87"
"125-2";"2019-12-02 19:30:44";"3";"W1I";"W1A1|0|2-4-5-6-|4|8|0|3.5";"usvctconja75t6bnuhp9mi0h50"
"125-2";"2019-12-02 19:32:20";"3";"W1A1";"";"usvctconja75t6bnuhp9mi0h50"
"125-2";"2019-12-02 19:48:20";"3";"W1Z1";"";"usvctconja75t6bnuhp9mi0h50"
"125-2";"2019-12-02 19:49:10";"3";"W1A2";"";"usvctconja75t6bnuhp9mi0h50"
"125-2";"2019-12-02 19:56:13";"3";"W1Z2";"";"usvctconja75t6bnuhp9mi0h50"
"125-2";"2019-12-02 19:58:59";"3";"W1A3";"";"usvctconja75t6bnuhp9mi0h50"
"125-2";"2019-12-02 19:59:05";"3";"W2I";"";"usvctconja75t6bnuhp9mi0h50"
"125-2";"2019-12-04 11:05:46";"3";"W2I";"";"usvctconja75t6bnuhp9mi0h50"
"125-2";"2019-12-04 11:08:12";"3";"W2I";"";"dt31cl91s5roeeg21nkefn5ld2"
"125-2";"2019-12-04 11:18:45";"3";"W2I";"";"kkr1qtpcf3q2gge41kqd782ca2"
"125-2";"2019-12-04 11:41:06";"3";"W2A1";"";"kkr1qtpcf3q2gge41kqd782ca2"
"125-2";"2019-12-04 11:44:00";"3";"W2Z1";"";"kkr1qtpcf3q2gge41kqd782ca2"
"125-2";"2019-12-04 11:45:40";"3";"W2A2";"";"kkr1qtpcf3q2gge41kqd782ca2"
