"400";"1234";"1 BASICO-A";"807753101A";"-W1-W2-W3-W4-W5-W6-Y1-Y2-Y3-Y4-Y5-Y6"
"411";"1234";"1 BASICO-A";"807753101A";"-W1-W2-W3-Y6-W4-W5-W6-Y1-Y2-Y3-Y4-Y5"
"413";"1234";"1 BASICO-A";"807753101A";"-W1-W6-W2-W3-Y6-W4-W5-Y1-Y2-Y3-Y4-Y5"
"151";"1234";"2 BASICO-A";"960643102A";"-Array"
"152";"1234";"2 BASICO-A";"960643102A";"-U1-U2-U3-U4-U5-V2"
"153";"1234";"2 BASICO-A";"960643102A";"-U1-U2-U3-U4-V2-U5"
"199";"1234";"2 BASICO-A";"960643102A";"-U1-U3-U2-V2-U4-U5"
"200";"1234";"2 BASICO-A";"960643102A";"-U1-U3-U4-U2-V2-U5"
"221";"1234";"2 BASICO-A";"960643102A";"-U6-V1-V3-V4-V5-V6"
"246";"1234";"2 BASICO-A";"960643102A";"-U1-U6-U3-U2-V6-V1-U4-U5-V2-V5-V3-V4"
"247";"1234";"2 BASICO-A";"960643102A";"-U1-U6-U3-U2-V6-V1-U4-U5-V2-V5-V3-V4"
"414";"1234";"2 BASICO-A";"960643102A";"-U1-U6-V3-U3-U2-V6-V1-U4-U5-V2-V5-V4"
"201";"1234";"2 BASICO-B";"348070132B";"-U1-U3-U2-V2-U4-U5"
"202";"1234";"2 BASICO-B";"348070132B";"-U1-U3-U5-U2-U4-V2"
"222";"1234";"2 BASICO-B";"348070132B";"-U6-V1-V3-V4-V5-V6"
"245";"1234";"2 BASICO-B";"348070132B";"-U1-V3-U5-U2-V6-V5-U3-V4-V2-U4-U6-V1"
"154";"1234";"2 BASICO-C";"734414732C";"-U1-U2-U3-U4-U5-V2"
"155";"1234";"2 BASICO-C";"734414732C";"-U3-U1-U4-U2-V2-U5"
"156";"1234";"2 BASICO-C";"734414732C";"-U1-U3-U4-U2-V2-U5"
"157";"1234";"2 BASICO-C";"734414732C";"-U1-U4-U2-V2-U3-U5"
"186";"1234";"2 BASICO-C";"734414732C";"-U1-U2-U3-U4-U5-V2"
"187";"1234";"2 BASICO-C";"734414732C";"-U1-U4-U2-V2-U3-U5"
"188";"1234";"2 BASICO-C";"734414732C";"-U1-U4-U2-U3-U5-V2"
"189";"1234";"2 BASICO-C";"734414732C";"-U1-U2-U4-V2-U3-U5"
"190";"1234";"2 BASICO-C";"734414732C";"-U1-U2-U3-U4-U5-V2"
"191";"1234";"2 BASICO-C";"734414732C";"-U1-U3-U2-U4-U5-V2"
"192";"1234";"2 BASICO-C";"734414732C";"-U1-U3-U4-V2-U2-U5"
"193";"1234";"2 BASICO-C";"734414732C";"-U1-U2-U3-U4-U5-V2"
"194";"1234";"2 BASICO-C";"734414732C";"-U1-V2-U4-U2-U3-U5"
"195";"1234";"2 BASICO-C";"734414732C";"-U1-V2-U4-U3-U2-U5"
"197";"1234";"2 BASICO-C";"734414732C";"-U1-U4-U2-V2-U3-U5"
"198";"1234";"2 BASICO-C";"734414732C";"-U1-U4-V2-U2-U3-U5"
"203";"1234";"2 BASICO-C";"734414732C";"-U1-U5-U2-U4-U3-V2"
"204";"1234";"2 BASICO-C";"734414732C";"-U1-U5-U4-U2-U3-V2"
"205";"1234";"2 BASICO-C";"734414732C";"-U1-U5-U4-U2-U3-V2"
"223";"1234";"2 BASICO-C";"734414732C";"-U6-V1-V3-V4-V5-V6"
"244";"1234";"2 BASICO-C";"734414732C";"-U1-V6-U2-V5-U3-V4-U4-V3-U5-V2-U6-V1"
"254";"1234";"2 BASICO-C";"734414732C";"-U1-U2-U3-V4-V6-U4-U5-U6-V1-V2-V5-V3"
"255";"1234";"2 BASICO-C";"734414732C";"-U1-U2-U3-V4-V6-V2-U4-U5-U6-V1-V5-V3"
"248";"1234";"2 BASICO-Z";"646814772Z";"-U1-U2-U3-U4-U5-U6-V1-V2-V3-V4-V5-V6"
"249";"1234";"2 BASICO-Z";"646814772Z";"-U1-U6-U3-U2-V6-V1-U4-U5-V2-V5-V3-V4"
"250";"1234";"2 BASICO-Z";"646814772Z";"-U1-U6-V6-V5-V1-V3-V4-U2-U3-U4-U5-V2"
"251";"1234";"2 BASICO-Z";"646814772Z";"-U1-U6-V6-V5-V1-V4-V3-U2-U3-U4-U5-V2"
